Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
137,0.000189,7.400000,0.000000,220.750000,219.000000,222.000000,0.000000,220.750000,219.000000,222.000000,0.188757,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
138,0.000375,8.400000,0.000000,228.500000,219.000000,238.000000,0.000000,228.500000,219.000000,238.000000,0.374669,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
139,0.000438,8.200000,0.000000,223.750000,217.000000,235.000000,0.000000,223.750000,217.000000,235.000000,0.438318,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
140,0.000248,32.000000,0.000000,216.750000,213.000000,221.000000,0.000000,216.750000,213.000000,221.000000,0.247548,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
141,0.000451,7.400000,0.000000,224.250000,219.000000,236.000000,0.000000,224.250000,219.000000,236.000000,0.450791,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
142,0.000465,8.600000,0.000000,225.000000,221.000000,236.000000,0.000000,225.000000,221.000000,236.000000,0.464512,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
143,0.000368,8.200000,0.000000,229.500000,216.000000,238.000000,0.000000,229.500000,216.000000,238.000000,0.368427,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
144,0.000273,8.600000,0.000000,233.250000,221.000000,238.000000,0.000000,233.250000,221.000000,238.000000,0.273068,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
145,0.000385,7.600000,0.000000,228.500000,220.000000,238.000000,0.000000,228.500000,220.000000,238.000000,0.384664,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
146,0.000274,7.200000,0.000000,232.500000,219.000000,238.000000,0.000000,232.500000,219.000000,238.000000,0.274315,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
